TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
JE|26044591:1|9685487:1|3949218:1|73815082:1|29852166:1|16881356:1|57390265:1|28975089:1|29387573:1|54538205:1|7550160:1|50528991:1|14696262:1|29484642:1|50311308:1|23594291:1|10915504:1|48081565:1|65298966:1|22641582:1|72723177:1|14661846:1|44881064:1|57192897:1|66736547:1|61139144:1|16985442:1|27528502:1|63267507:1|13799350:1|18493540:1|71341536:1|70114380:1|37815658:1|31832790:1|51218592:1|40303405:1|76989936:1|1054999:1|18375637:1|8359337:1|40510898:1|39735579:1|1677637:1|58700747:1|22919172:1|79657816:1|25792681:1|26514448:1|78814807:1
SN|67124857:1|42561037:1|19675137:1|64744558:1|27409040:1|37325912:1|3101708:1|39550531:1|45399948:1|13410289:1|8440353:1|27527575:1|67412472:1|22919052:1|79457029:1|71290801:1|23073160:1|40809350:1|61489332:1|25677791:1|19568599:1|36232383:1|63317896:1|28821584:1|76045913:1|55618021:1|65907891:1|5045917:1|36620604:1|50144443:1|14347045:1|30302778:1|7602826:1|21433837:1|23747890:1|14964883:1|28665087:1|64748658:1|24467001:1|11276859:1|7397142:1|68986603:1|16790824:1|33319735:1|17016479:1|28054796:1|63082055:1|60898476:1|41032010:1|36638097:1
KR|12809178:1|15149803:1|74896984:1|7439165:1|57274542:1|5903187:1|25769554:1|47460010:1|2059661:1|12847777:1|37684477:1|38885061:1|30174799:1|35210160:1|75863372:1|38649680:1|66803683:1|55586015:1|35203533:1|32405941:1|73106511:1|41294812:1|51169449:1|21790357:1|39063180:1|23149437:1|78611523:1|31659360:1|45461511:1|75303639:1|36154278:1|69018233:1|3106685:1|37411565:1|60202872:1|68997524:1|56624286:1|69326637:1|47594567:1|58955929:1|76038363:1|2542310:1|54318564:1|43845658:1|65232520:1|51853489:1|78282247:1|34896810:1|69402560:1|24860129:1
VU|20682288:1|35348497:1|45791035:1|46808189:1|38259952:1|9470688:1|76276489:1|2464646:1|65853131:1|79269377:1|25497917:1|36848333:1|18349978:1|62120698:1|16360311:1|77726311:1|81447:1|6269055:1|26985457:1|15101851:1|45928468:1|53530906:1|40058143:1|75690681:1|49951317:1|60080510:1|73304969:1|31209893:1|2987042:1|75107963:1|60966945:1|32667789:1|63633468:1|76610786:1|23106049:1|66865129:1|31609124:1|30596264:1|21156588:1|18894915:1|55293952:1|6749979:1|76244547:1|26488355:1|18079656:1|33488743:1|52447590:1|61286908:1|11954441:1|34817014:1
CU|77668948:1|24055397:1|26654171:1|61310810:1|29272898:1|78849391:1|73067241:1|62456895:1|68974376:1|44718317:1|39836597:1|19921647:1|52235523:1|12173135:1|26729191:1|63668446:1|19449341:1|30414830:1|70534859:1|12736564:1|44845996:1|9756596:1|65833995:1|69128324:1|48832189:1|57510153:1|30896620:1|24733083:1|37156207:1|4298528:1|74813142:1|41356819:1|63040133:1|26832041:1|18647988:1|59439821:1|357313:1|14014768:1|27853473:1|59779662:1|55444380:1|19281248:1|8794699:1|41514068:1|23014410:1|14450977:1|34358933:1|45562972:1|37783139:1|16261492:1
IL|27916053:1|53074858:1|50228374:1|9990043:1|47123120:1|27284590:1|76188231:1|70004873:1|67524532:1|43585977:1|72965648:1|78679765:1|78347124:1|37841230:1|38490177:1|17239281:1|53099241:1|79521359:1|9734554:1|72805103:1|37812089:1|50170833:1|50382458:1|3571935:1|44906878:1|47863555:1|23616459:1|25481001:1|7119880:1|64562884:1|65989620:1|18523267:1|11342314:1|30672524:1|51800043:1|16145189:1|79366434:1|16191868:1|7808138:1|69212081:1|44620474:1|34103891:1|11546721:1|42262795:1|70422216:1|69743215:1|51755082:1|57817992:1|56152304:1|33095861:1
AR|73310291:1|17424516:1|79116634:1|15293519:1|43665209:1|7992518:1|29160787:1|30537605:1|9561942:1|24543896:1|47014356:1|71336716:1|79978009:1|55458589:1|40117801:1|4525512:1|79194892:1|30023355:1|22632127:1|10226262:1|67139896:1|19954888:1|52870526:1|33008559:1|70366492:1|7733390:1|46969895:1|31404416:1|5470694:1|17463635:1|33872901:1|32007140:1|76759548:1|41542278:1|56925537:1|29464544:1|77248228:1|39940027:1|65539063:1|62770647:1|26028542:1|58026956:1|461376:1|42825562:1|17649127:1|66209043:1|24479242:1|9489340:1|15550465:1|76840504:1
QA|66038547:1|60331722:1|49676943:1|69747803:1|68999286:1|48357781:1|45185907:1|52998920:1|70821933:1|33788987:1|61831251:1|42290742:1|24449194:1|23950275:1|73767627:1|14540918:1|71540193:1|15026269:1|12247808:1|35805728:1|69976568:1|42036677:1|65429203:1|12864079:1|72574246:1|46751306:1|47195645:1|65588535:1|62644880:1|26383276:1|13368108:1|75657209:1|47321347:1|46370826:1|27242690:1|49024441:1|13085483:1|16009635:1|79637126:1|7599814:1|37168606:1|23813408:1|39170395:1|67169020:1|65966457:1|40487162:1|79932647:1|58427186:1|15553633:1|61442482:1
LA|24679825:1|77608951:1|19158295:1|15189850:1|29411212:1|8468270:1|12017291:1|29239697:1|6198593:1|63916120:1|46019648:1|9710324:1|16121852:1|32411822:1|6250466:1|7147323:1|78987701:1|22709193:1|22104461:1|60201749:1|71373414:1|28303911:1|22825019:1|42723674:1|24075822:1|18743179:1|39449052:1|1488541:1|2840080:1|11110171:1|55890836:1|72602989:1|34478009:1|58765379:1|21783391:1|10670995:1|55694930:1|9366777:1|17618479:1|27114384:1|69499222:1|20375634:1|11136498:1|62662451:1|18816028:1|53793639:1|3992890:1|31615785:1|74793189:1|6065917:1
IN|50112433:1|23187084:1|39103914:1|63851723:1|74412177:1|71541397:1|39951527:1|32698512:1|4688076:1|19113066:1|18092950:1|53506354:1|67251245:1|27688901:1|54843630:1|46925554:1|1003483:1|59224890:1|52198947:1|61606563:1|60160403:1|10964639:1|2391301:1|59139639:1|23180151:1|30724482:1|60512831:1|70963844:1|78647761:1|18063145:1|62568521:1|783715:1|43792024:1|68132516:1|49273265:1|43553870:1|8841741:1|20112252:1|35143785:1|56261100:1|54497221:1|36052272:1|782487:1|170452:1|48122154:1|62020614:1|12661755:1|7837261:1|48127348:1|34968692:1
MG|14073802:1|3496998:1|70219960:1|76620382:1|72979167:1|21843049:1|2955394:1|52641272:1|35167976:1|5259135:1|3824431:1|31262568:1|1801526:1|66085172:1|60793850:1|45241445:1|7526718:1|66131208:1|41864600:1|5469532:1|60811708:1|74569531:1|53143711:1|17967616:1|34103011:1|2483207:1|60489250:1|77175593:1|37593966:1|38884357:1|52434512:1|8032269:1|52134874:1|73153524:1|22858592:1|62360192:1|27238585:1|11650817:1|5908339:1|33889632:1|52810234:1|52818406:1|78101593:1|25578687:1|70698735:1|17114063:1|42060131:1|34703980:1|75324640:1|63917115:1
DE|51116846:1|57684847:1|8077894:1|44399723:1|65237780:1|52418998:1|17351413:1|49919070:1|5530598:1|57859807:1|35297156:1|79379852:1|59468161:1|43770406:1|77703607:1|79764515:1|60991858:1|2922887:1|44489597:1|24644258:1|51491492:1|26563139:1|38811159:1|74097559:1|41759312:1|45596949:1|24570448:1|15987664:1|27195300:1|43794545:1|43592622:1|7483494:1|78464639:1|34899369:1|6262197:1|17330594:1|29998130:1|52898200:1|6747648:1|55649097:1|35379744:1|29312240:1|7597761:1|7154190:1|2285733:1|55689593:1|15734883:1|51576886:1|24219661:1|69602551:1
CZ|75156832:1|72782504:1|57204359:1|74050538:1|76992347:1|33448939:1|79726006:1|71590340:1|35224415:1|61792256:1|6950739:1|62155218:1|75129286:1|65714257:1|30543772:1|76502883:1|12056333:1|41452576:1|53900459:1|5080495:1|25618466:1|49609525:1|495595:1|11183652:1|57133551:1|60055473:1|34478091:1|70932120:1|73224190:1|43358612:1|7946168:1|15412363:1|65537442:1|78929137:1|47549468:1|79407545:1|75602377:1|60309138:1|23359989:1|49412098:1|67049052:1|73671462:1|47171451:1|1145583:1|42579928:1|58868801:1|60331519:1|18212657:1|38119421:1|12998107:1
HK|37113798:2|42676264:1|30444166:1|31083045:1|6697379:1|54148783:1|37093925:1|53947931:1|24756488:1|13277185:1|5140804:1|70695804:1|75231176:1|10722028:1|55241181:1|41080938:1|21316366:1|26179881:1|6716083:1|61633416:1|26279694:1|62940858:1|69777484:1|26198965:1|67139429:1|46021477:1|49198850:1|46114555:1|20470427:1|48799320:1|70910701:1|45800172:1|66364254:1|76815397:1|53058784:1|3693827:1|45277143:1|79083040:1|44723276:1|25250155:1|60222812:1|34167168:1|9823899:1|41643159:1|74443076:1|18621211:1|3275799:1|45622249:1|28738234:1|32280604:1
FI|74936999:1|40442464:1|22685296:1|15157561:1|72094720:1|73303381:1|51284048:1|41690492:1|72850478:1|78362822:1|35556513:1|13725048:1|19729938:1|53624081:1|36623768:1|78967464:1|37859718:1|60827216:1|48454066:1|13449435:1|72654854:1|61671488:1|69036830:1|64782033:1|40112384:1|6375012:1|33047941:1|57649190:1|11286102:1|573885:1|27551400:1|29249286:1|35155174:1|76989854:1|41622385:1|42293565:1|25132189:1|18474716:1|65072342:1|12016870:1|45255865:1|79944229:1|12840297:1|75623904:1|39563781:1|45681633:1|31233667:1|2285936:1|79680566:1|17438134:1
MW|69868510:1|40238684:1|40413821:1|493766:1|1127076:1|47516639:1|30245500:1|14770994:1|17892170:1|48556339:1|6711864:1|1711436:1|5403418:1|37493632:1|25400766:1|24405242:1|10310915:1|50887597:1|30598132:1|11967386:1|44483889:1|76311892:1|10241122:1|55101546:1|181519:1|77623554:1|5535914:1|35296501:1|19775261:1|44010568:1|51941759:1|28693210:1|43518940:1|70272288:1|17229129:1|71105295:1|49749405:1|78268785:1|23525320:1|41740452:1|62558076:1|9482634:1|22893644:1|72946307:1|57716626:1|6758971:1|26982808:1|1681880:1|9550305:1|66393441:1
BO|73557510:2|46026964:2|24584791:1|76389127:1|10974899:1|43233378:1|35632275:1|55005443:1|3832603:1|68428147:1|18959782:1|53298304:1|15993880:1|1060074:1|25658609:1|72947014:1|72526578:1|20035721:1|44658438:1|44223655:1|69939373:1|40068033:1|54681856:1|24066978:1|24451124:1|46047810:1|49412957:1|25685723:1|13473969:1|28076257:1|37560436:1|62640117:1|61721099:1|52357821:1|18094807:1|30496353:1|70986655:1|23674456:1|7372755:1|39781518:1|31004676:1|24568285:1|30359902:1|63291933:1|20999577:1|79182977:1|5014789:1|35975309:1|18595298:1|7852805:1
EG|17001689:1|77819572:1|4336923:1|10318830:1|27481710:1|38256070:1|48814664:1|44049440:1|55505081:1|60789362:1|33271223:1|41548982:1|9617576:1|27323674:1|57276959:1|10615954:1|25364400:1|26518516:1|15509910:1|7220783:1|52013113:1|4630335:1|41861790:1|59639114:1|54804711:1|34939488:1|62258768:1|12785048:1|34151689:1|55285630:1|10224504:1|79958066:1|59953839:1|51431120:1|13415415:1|71417380:1|4886627:1|56986052:1|77799141:1|14221256:1|40418373:1|39140628:1|8956669:1|33604263:1|55137573:1|45947119:1|50593329:1|13134157:1|5184004:1|13502117:1
AW|11450376:2|32400717:1|45219891:1|76114512:1|54911112:1|41033886:1|13104977:1|69510380:1|79296336:1|76676962:1|30377973:1|33987682:1|53440804:1|35615481:1|53369982:1|30922594:1|16526900:1|21896291:1|3338708:1|73763465:1|36563450:1|75701502:1|60836061:1|19812847:1|3779806:1|38987947:1|30899731:1|9665162:1|27373175:1|38462976:1|42163776:1|57542116:1|24993188:1|5059066:1|72537506:1|45860260:1|12376085:1|30790337:1|23644439:1|53542882:1|78524722:1|77540350:1|63415960:1|38172712:1|47110597:1|43351931:1|59330991:1|65197866:1|6802324:1|30042287:1
BL|32958264:2|67998465:1|62185007:1|38335822:1|24070542:1|79829982:1|48326815:1|49245802:1|79965037:1|34209400:1|16123377:1|40254576:1|40841822:1|49397415:1|20566300:1|51796409:1|58643504:1|11337926:1|25911683:1|74013248:1|1234432:1|46028545:1|26084606:1|3525833:1|40333725:1|15614389:1|4852798:1|69283260:1|73154428:1|19329466:1|52581316:1|43252328:1|48944826:1|75374169:1|11292122:1|17764854:1|66974092:1|10536267:1|54326798:1|77770918:1|23366677:1|36933494:1|17860659:1|42169405:1|25023600:1|78465058:1|36156547:1|48484066:1|66498071:1|58179221:1
TV|73137020:1|43591997:1|79797629:1|41548961:1|13068529:1|24030361:1|35669632:1|13147970:1|79610421:1|16837692:1|70063762:1|79836024:1|75829443:1|73681015:1|42133422:1|10194525:1|498083:1|66954239:1|76043424:1|52982410:1|47996306:1|50239011:1|68646917:1|74863681:1|2951568:1|39055522:1|12889512:1|32027855:1|76390024:1|60033322:1|70536421:1|75526986:1|53901134:1|46205950:1|36767379:1|48979711:1|40774638:1|2227330:1|44022719:1|30311138:1|27251075:1|67089845:1|77184143:1|14926275:1|9713594:1|29197050:1|52506325:1|63702565:1|63037693:1|58126420:1
RU|28022167:2|18528642:1|54062632:1|27088897:1|71539687:1|54587542:1|59754908:1|81419:1|7866149:1|69922224:1|34504187:1|66175676:1|49644498:1|35178041:1|5035100:1|28488163:1|59709441:1|64730842:1|22691412:1|35829946:1|47240506:1|2252763:1|7791329:1|61790386:1|5627459:1|39461840:1|45614486:1|78133607:1|66212416:1|68041055:1|22890652:1|40103210:1|56010594:1|70509423:1|24196842:1|71282336:1|32627988:1|16065073:1|72852595:1|2187646:1|4674561:1|53168658:1|70229125:1|49006067:1|1416058:1|26212857:1|21710704:1|38302394:1|70997920:1|76621302:1
SE|64273175:1|365834:1|27269256:1|23002658:1|26456812:1|42705583:1|51072650:1|76997889:1|6797042:1|11917895:1|45931329:1|45110065:1|18030327:1|66449782:1|14948754:1|41237663:1|9093354:1|38628804:1|10968765:1|73405912:1|38764952:1|37016642:1|40511891:1|51360205:1|19325902:1|19159494:1|25370030:1|13909997:1|20628842:1|59292989:1|71219120:1|41017165:1|71870020:1|7053325:1|22218461:1|74282461:1|16968212:1|79465555:1|46196177:1|66803108:1|16702307:1|2743284:1|66942234:1|19248302:1|19154317:1|71851934:1|32628867:1|14176900:1|11407236:1|5636360:1
MU|10834008:1|74803470:1|31829202:1|14012286:1|46953054:1|54640347:1|18053828:1|39909349:1|74785772:1|79025016:1|77317440:1|59497989:1|26984803:1|5471098:1|5341574:1|1808272:1|22100384:1|3663029:1|4712530:1|62961523:1|20401832:1|17879511:1|45826465:1|29267007:1|62009352:1|76735015:1|33385218:1|4897768:1|7923674:1|77878262:1|57778719:1|40212018:1|17009463:1|25429222:1|62787195:1|7441984:1|39263076:1|67717410:1|25298633:1|15432392:1|69629376:1|51943749:1|45285699:1|48998008:1|13214061:1|39331244:1|20776295:1|69830008:1|13975899:1|43076809:1
HM|74621359:1|7412246:1|37242724:1|49386131:1|814999:1|68304755:1|7576790:1|23638109:1|17353789:1|68314788:1|14799940:1|49668509:1|50926365:1|3724037:1|47986142:1|69244937:1|37500253:1|57907323:1|44628033:1|75221635:1|15936346:1|67789142:1|57787943:1|40710390:1|29482746:1|53579948:1|37071618:1|75943643:1|63614910:1|15848176:1|77220674:1|12203826:1|73208506:1|50935703:1|63317848:1|42783416:1|5622693:1|78494836:1|6222380:1|1269723:1|28381932:1|38988286:1|39237860:1|20913217:1|8786709:1|61807130:1|54507898:1|60661684:1|35733469:1|30556355:1
MZ|17811329:1|42117518:1|47470905:1|35824367:1|8880072:1|13593645:1|10249295:1|29774209:1|55164314:1|55677333:1|44349722:1|66571173:1|18254680:1|49254011:1|48782786:1|12996850:1|20093843:1|70932396:1|43243020:1|28074953:1|37611697:1|55602766:1|36211067:1|75553547:1|30841940:1|15555862:1|53993791:1|58664204:1|17602581:1|74208097:1|44073088:1|74031644:1|79629985:1|15418920:1|891295:1|63366967:1|78578477:1|69689188:1|59000470:1|23428105:1|9572406:1|22818234:1|47290399:1|61407945:1|39624569:1|58567718:1|2032332:1|69991317:1|4759328:1|46098015:1
VI|7404369:2|17470108:1|27634693:1|41854624:1|38694770:1|63394750:1|69739232:1|41118501:1|56436476:1|19096440:1|71698670:1|61205951:1|22056142:1|2683111:1|29372215:1|26059026:1|47115579:1|44307373:1|47214014:1|21102551:1|74616051:1|10972967:1|34743439:1|74041557:1|52240383:1|26234184:1|72849436:1|42609098:1|10554217:1|31935427:1|7931666:1|40647830:1|41971149:1|10006762:1|20692099:1|18504586:1|41537171:1|33689988:1|20323646:1|32743546:1|54164453:1|13508164:1|59777913:1|63158843:1|47265562:1|67955646:1|78230771:1|20250112:1|36902457:1|19454813:1
SA|39113711:1|11470747:1|36264961:1|53202250:1|20531329:1|10181415:1|13660122:1|10486369:1|68662298:1|20357676:1|64011515:1|55848167:1|14964170:1|79376613:1|72424991:1|2542758:1|15871692:1|20067284:1|79293697:1|54473522:1|24187734:1|22382940:1|16744025:1|73366494:1|52310935:1|48453416:1|23637606:1|50620796:1|53447195:1|52068537:1|6215416:1|15562961:1|57549119:1|52541408:1|55683490:1|57739650:1|76086855:1|57508683:1|71216946:1|52922946:1|62407926:1|44644565:1|10117885:1|79593071:1|38273648:1|55584305:1|28278182:1|16715048:1|6058224:1|77613439:1
SM|23329244:1|27349352:1|50836038:1|74395205:1|26479167:1|30281494:1|62103243:1|4820064:1|547349:1|29229549:1|47411400:1|40900936:1|75928932:1|22184612:1|61674872:1|65860706:1|35685728:1|61653716:1|76088656:1|52705077:1|73673482:1|44221055:1|55032679:1|18659366:1|29805446:1|33027387:1|3186100:1|77741322:1|20905514:1|37044132:1|42898444:1|49718218:1|56144210:1|50522346:1|21159830:1|72418569:1|24661398:1|43006408:1|1906949:1|35235794:1|74687490:1|48290202:1|78059183:1|46742437:1|8637715:1|79498031:1|20162666:1|56577623:1|69869772:1|60985775:1
SD|7401984:1|44085075:1|72751766:1|35539992:1|13010131:1|50816598:1|19638734:1|2595791:1|73214972:1|29184882:1|51616462:1|57143281:1|59223083:1|69229231:1|59358452:1|51385911:1|33475148:1|21423309:1|17901649:1|20411564:1|29027796:1|44097819:1|75534044:1|10706505:1|17988865:1|8887069:1|36142416:1|58500688:1|57832263:1|31775651:1|28741077:1|52015086:1|41317515:1|878664:1|44479573:1|24080645:1|7115417:1|57683345:1|43429030:1|39791981:1|13449531:1|53585404:1|15419774:1|43533617:1|78020049:1|24737673:1|28583986:1|64737550:1|35617873:1|11061665:1
UZ|36487327:1|21728103:1|12144260:1|4375274:1|59135283:1|32821734:1|646725:1|42178400:1|17891932:1|35683920:1|8959189:1|23299562:1|46991769:1|73930883:1|65958139:1|77229060:1|2889763:1|42989454:1|79578466:1|76151825:1|26885991:1|20294270:1|9613265:1|50083983:1|4853987:1|76897122:1|3950068:1|54856787:1|43492141:1|24077552:1|42085773:1|64445515:1|44961116:1|64568944:1|6513088:1|29139736:1|37508617:1|68368358:1|78709502:1|66749716:1|44141256:1|37345170:1|51407166:1|39710790:1|5450071:1|67224289:1|11681011:1|22060325:1|73805010:1|48838111:1
BG|61370201:1|37262332:1|53114005:1|205307:1|40041459:1|18129086:1|56545095:1|33615372:1|50423697:1|77254817:1|2223896:1|20741091:1|2536963:1|9219494:1|49443391:1|63628246:1|69286043:1|75699112:1|46492955:1|56013912:1|26126047:1|1338489:1|21681356:1|17869419:1|22980603:1|32684305:1|18538741:1|26867347:1|71050119:1|70159134:1|79609570:1|23211543:1|50544937:1|56101324:1|12465344:1|27572910:1|51179811:1|36742938:1|68959138:1|63075074:1|27065920:1|9349179:1|60451560:1|18705801:1|57625313:1|39915027:1|52583977:1|76175232:1|49820429:1|9211204:1
BR|62501417:1|61582292:1|62227332:1|35007689:1|8996261:1|72064909:1|28743800:1|47798763:1|12250420:1|15240391:1|46957480:1|60904967:1|295794:1|19080642:1|54225799:1|3472097:1|45469258:1|15166002:1|7404546:1|9110176:1|66789559:1|73076359:1|9137687:1|29802770:1|381262:1|75294288:1|65986227:1|65960804:1|11282116:1|70816513:1|23733795:1|5502267:1|1240080:1|77339933:1|21976588:1|12286317:1|58599776:1|74057956:1|1600944:1|8413145:1|2298418:1|76468989:1|22989308:1|57981233:1|68067562:1|19169811:1|76773383:1|7574744:1|15226542:1|37035922:1
FO|75371552:2|71139247:2|10269969:1|18491075:1|55170827:1|29666259:1|64488591:1|79339195:1|3802506:1|37190959:1|27975088:1|59462069:1|10754893:1|49000912:1|1504716:1|17604356:1|16371199:1|6989831:1|47895751:1|57355429:1|51139894:1|1490861:1|44020487:1|69681068:1|10393981:1|59454837:1|72065213:1|32305146:1|15236396:1|64835671:1|68292240:1|58086399:1|1406001:1|75364347:1|78604905:1|36538573:1|18050825:1|30213081:1|19941161:1|16688906:1|7276678:1|357999:1|37632170:1|33284366:1|70523651:1|27023734:1|45469531:1|74908229:1|77230835:1|39529887:1
